epoch,beta,train_total,train_recon,train_kl,val_total,val_recon,val_kl,lr
1,0.050,0.22275,0.17241,1.00680,0.16493,0.11004,1.09787,1.00e-03
2,0.100,0.22135,0.19229,0.29059,0.19332,0.17196,0.21360,1.00e-03
3,0.150,0.22680,0.21815,0.05772,0.22126,0.21243,0.05887,1.00e-03
4,0.200,0.22600,0.22488,0.00559,0.22802,0.22784,0.00090,1.00e-03
5,0.250,0.22601,0.22558,0.00172,0.22805,0.22767,0.00151,1.00e-03
6,0.300,0.22592,0.22549,0.00145,0.22832,0.22816,0.00054,1.00e-03
7,0.350,0.22586,0.22547,0.00113,0.22816,0.22805,0.00031,1.00e-03
8,0.400,0.22763,0.22528,0.00587,0.22806,0.22792,0.00034,1.00e-03
9,0.450,0.22584,0.22556,0.00063,0.22776,0.22766,0.00023,1.00e-03
10,0.500,0.22548,0.22527,0.00044,0.22804,0.22793,0.00020,1.00e-03
11,0.550,0.22591,0.22549,0.00076,0.22779,0.22772,0.00012,1.00e-03
12,0.600,0.22551,0.22523,0.00047,0.22777,0.22766,0.00018,5.00e-04
13,0.650,0.22506,0.22503,0.00005,0.22782,0.22780,0.00002,5.00e-04
14,0.700,0.22496,0.22492,0.00005,0.22766,0.22762,0.00005,5.00e-04
15,0.750,0.22510,0.22507,0.00004,0.22782,0.22778,0.00005,5.00e-04
16,0.800,0.22506,0.22501,0.00006,0.22773,0.22765,0.00010,5.00e-04
17,0.850,0.22514,0.22504,0.00011,0.22780,0.22761,0.00022,5.00e-04
18,0.900,0.22543,0.22511,0.00035,0.22776,0.22771,0.00006,5.00e-04
19,0.950,0.22524,0.22512,0.00013,0.22776,0.22767,0.00009,5.00e-04
20,1.000,0.22523,0.22499,0.00025,0.22791,0.22787,0.00004,5.00e-04
21,1.000,0.22512,0.22505,0.00007,0.22779,0.22768,0.00011,5.00e-04
22,1.000,0.22509,0.22497,0.00012,0.22790,0.22772,0.00018,5.00e-04
23,1.000,0.22507,0.22500,0.00007,0.22775,0.22767,0.00008,2.50e-04
24,1.000,0.22499,0.22497,0.00002,0.22766,0.22766,0.00001,2.50e-04
25,1.000,0.22503,0.22502,0.00001,0.22770,0.22768,0.00002,2.50e-04
26,1.000,0.22505,0.22504,0.00001,0.22788,0.22786,0.00001,2.50e-04
27,1.000,0.22498,0.22497,0.00001,0.22766,0.22765,0.00001,2.50e-04
28,1.000,0.22490,0.22489,0.00002,0.22763,0.22762,0.00001,2.50e-04
29,1.000,0.22495,0.22494,0.00001,0.22764,0.22761,0.00003,2.50e-04
30,1.000,0.22498,0.22496,0.00002,0.22774,0.22772,0.00002,2.50e-04
